SYMBOL,avg -log10(p)
RANBP2,1.905424066
RAB5C,1.903889825
TMEM212,1.623448044
GPR39,1.902916304
ADGRB3,1.697848045
PCSK1,1.885346825
HOGA1,1.901667832
RAB34,1.900872072
GDAP1,1.900768385
GPR150,1.900561084
TMEM107,1.821221356
BAMBI,1.898940645
PCARE,1.89766922
MS4A10,1.897394806
ELOVL7,1.895308081
PUM1,1.89231528
SQSTM1,1.891807195
ALDH1A3,1.889275646
UBE2Q1,1.671423466
MIOX,1.887227479
ITSN2,1.886926106
TMEM87A,1.885022255
IGF2BP1,1.884955605
IL23R,1.883292659
AKAP8L,1.882828172
SPRR2B,1.881801432
CFAP251,1.8815038
RAB22A,1.880678114
DHPS,1.879952806
MRPL54,1.879788132
SPPL3,1.877423725
OPTN,1.619172239
OR5M9,1.877161806
IRAG1,1.876213671
SNCG,1.87422605
LCT,1.871568419
TOX2,1.8713423
DHX29,1.868830617
FBXL5,1.611865054
SOCS7,1.868605918
SLIT2,1.868285122
FAM13A,1.868124812
SMTN,1.867836404
STOML2,1.867068251
RIIAD1,1.866844462
GMPS,1.594532008
ZNF415,1.864517509
TRAPPC9,1.863628277
CHAT,1.862994224
RNF216,1.862677544
PLIN2,1.862456005
SDC3,1.862076488
RHBDF1,1.861602557
LYPLA2,1.860876866
MTIF2,1.8607823
PLAGL1,1.738815536
CYP27B1,1.860215336
IAH1,1.858895291
OR52R1,1.634418082
HSD3B1,1.858738409
C9orf85,1.857923539
PDP2,1.85779831
ATPSCKMT,1.857704412
PPP1R13L,1.85754796
RCOR1,1.857516676
NDUFB1,1.854617108
C6orf132,1.853499871
GEMIN6,1.85309713
TPT1,1.852942329
SLC6A19,1.852632892
C9orf78,1.852323676
PRR3,1.851520742
BPNT1,1.851459039
ACLY,1.834576967
GTF2E1,1.85133566
GTF3C6,1.850349887
