SYMBOL,avg -log10(p)
TAS2R4,1.351864514
TAS2R5,1.85886391
FAM131B,2.010701578
ZYX,8.921038286
EPHA1,13.86093983
TAS2R41,3.135589654
TCAF2,1.522155524
OR2A25,1.768326563
EZH2,1.758753294
PDIA4,1.685900937
ABCF2,1.345919765
WDR86,1.668754963
GALNTL5,1.423796909
TDRP,1.463807832
DLGAP2,2.224951233
DEFA4,2.469608179
TNKS,3.503804016
MSRA,4.099398033
SOX7,1.557802536
PINX1,4.090951662
XKR6,2.33522644
BLK,1.984053756
GATA4,1.985395467
NEIL2,2.748580807
FDFT1,1.447794304
DEFB136,1.556048947
DEFB134,1.647643799
CNOT7,1.355866804
VPS37A,1.706770075
PDGFRL,1.873024861
MTUS1,1.894898755
LPL,1.700688865
DOK2,1.317557069
XPO7,1.487942956
NPM2,3.321727518
FGF17,1.4844573
TNFRSF10A,1.740549476
NEFL,1.56039663
BNIP3L,1.523878773
PTK2B,8.141966006
CHRNA2,6.327648508
EPHX2,10.70042878
CLU,17.09369464
SCARA3,5.319418637
CCDC25,3.19333181
SCARA5,3.839387175
SARAF,1.440057484
ADGRA2,3.060590583
SLC20A2,2.143119
SMIM19,2.604444219
CHRNB3,2.4225082
HGSNAT,1.709809516
PXDNL,1.304211974
ALKAL1,1.399397338
RB1CC1,1.945693434
XKR4,1.669606521
LYN,1.898149862
CHCHD7,1.346826092
PENK,1.488464214
CLVS1,2.278295322
TTPA,2.819128948
TRAM1,3.057706742
LACTB2,2.784193985
XKR9,1.798011127
ELOC,2.159200157
GDAP1,2.118347202
RIPK2,1.750190391
RAD54B,1.463593082
FSBP,1.646911235
VIRMA,2.034191746
ESRP1,1.673050006
DPY19L4,2.004703483
INTS8,2.89228201
CCNE2,2.810864433
NDUFAF6,4.979368979
TP53INP1,6.026119531
ERICH5,1.562360402
SNX31,1.871400359
PABPC1,2.470993366
YWHAZ,2.293333415
ATP6V1C1,1.322922552
ZFPM2,1.373870125
OXR1,1.379135525
EBAG9,1.977901703
EXT1,1.647836784
HAS2,2.033140514
ATAD2,1.726813468
KLHL38,2.257400542
NDUFB9,1.748962825
TRIB1,2.113272452
LRATD2,1.760775622
GSDMC,1.709297757
FAM135B,3.168168604
DENND3,1.422611616
TSNARE1,1.799010365
ADGRB1,1.52792651
PLEC,2.611099892
PARP10,2.778142565
GRINA,2.231754199
SPATC1,3.916103397
SMPD5,1.417538905
OPLAH,2.458533088
EXOSC4,1.375418849
GPAA1,3.226023501
CYC1,1.829503594
SHARPIN,4.729274593
MAF1,1.422623108
RANBP6,1.887160489
FOCAD,2.084048049
IFNB1,2.34784072
ELAVL2,3.692653745
SPINK4,1.595852122
ARID3C,1.477607937
GALT,1.46484518
FANCG,1.333023631
FAM166B,1.505364419
TESK1,1.354165249
CD72,2.425690873
RASEF,1.67481285
SHC3,3.783016441
SECISBP2,1.799204202
LOC102724237,1.581930836
SYK,3.817773453
AUH,1.663448732
FGD3,1.302465537
